distinction_id,property_flg,price,yield,income,built_date,building_structure,rank,struture_flg,total_units,access,address,land_area,land_rights,footprint_square,plan,management_fee,management_flg,building_area,ratio,use_districts,current_state,delivery_time
604638rvq,ONE,850万円,11.88%,101 万円 / 8.4万円,1983年4月,鉄骨鉄筋コンクリート造5/10階建 総戸数 77戸,5/10階建,SRC造,77戸,JR山手線 秋葉原駅  徒歩9分 銀座線 末広町駅  徒歩3分 ,東京都千代田区外神田,,旧法借地権 ,19.7m2（バルコニー 2.6m2）,1R西向き,"6,200円 / 3,720円",全部委託,,,,空室,相談
596713zl5,ONE,950万円,8.21%,78 万円 / 6.5万円,1981年10月,鉄骨鉄筋コンクリート造1/8階建 総戸数 77戸,1/8階建,SRC造,77戸,JR中央線 市ヶ谷駅  徒歩7分 東西線 九段下駅  徒歩11分 ,東京都千代田区九段南3-8-2,,所有権 ,15.83m2（バルコニー 1.8m2）,1R北向き,"7,600円 / 3,800円",全部委託,,,,賃貸中,相談
589134xeb,ONE,"1,000万円",8.40%,84 万円 / 7.0万円,1980年2月,鉄骨鉄筋コンクリート造3/9階建 総戸数 120戸,3/9階建,SRC造,120戸,都営新宿線 九段下駅  徒歩2分 東西線 九段下駅  徒歩2分 ,東京都千代田区九段北一丁目,,所有権 ,18.58m2（バルコニー 3.59m2）,1R東向き,"5,830円 / 5,390円",全部委託,,,,賃貸中,相談
582356zc5,ONE,"1,008万円",7.50%,75.6 万円 / 6.3万円,1981年2月,鉄筋コンクリート造8/10階建 総戸数 43戸,8/10階建,RC造,43戸,半蔵門線 九段下駅  徒歩3分 ,東京都千代田区神田神保町3丁目,,所有権 ,16.2m2（バルコニー 2.90m2）,1K南向き,"9,422円 / 1,714円",全部委託,,,,賃貸中,相談
582571x5s,ONE,"1,008万円",8.03%,81 万円 / 6.8万円,1981年2月,鉄骨鉄筋コンクリート造8/10階建 総戸数 43戸,8/10階建,SRC造,43戸,半蔵門線 九段下駅  徒歩3分 ,東京都千代田区神田神保町3-23-3,,所有権 ,16.23m2（バルコニー 2.90m2）,1R北西向き,"9,422円 / 1,714円",一部委託,,,,賃貸中,相談
588718fee,ONE,"1,180万円",7.11%,84 万円 / 7.0万円,1982年6月,鉄筋コンクリート造3/9階建 総戸数 57戸,3/9階建,RC造,57戸,半蔵門線 半蔵門駅  徒歩3分 有楽町線 永田町駅  徒歩7分 有楽町線 麹町駅  徒歩7分 ,東京都千代田区平河町1-9-8,,所有権 ,19.14m2（バルコニー 2.38m2）,1R北向き,"9,200円 / 3,620円",全部委託,,,,賃貸中,相談
606558xqg,ONE,"1,180万円",7.11%,84 万円 / 7.0万円,1982年6月,鉄骨鉄筋コンクリート造3/9階建（地下 1階） 総戸数 57戸,3/9階建,SRC造,57戸,半蔵門線 半蔵門駅  徒歩3分 有楽町線 麹町駅  徒歩7分 有楽町線 永田町駅  徒歩7分 ,東京都千代田区平河町1-9-8,,所有権 ,19.14m2（バルコニー 2.38m2）,1K北向き,"9,200円 / 3,620円",全部委託,,,,賃貸中,相談
583514fgu,ONE,"1,200万円",7.00%,84 万円 / 7.0万円,1979年4月,鉄骨鉄筋コンクリート造8/11階建 総戸数 21戸,8/11階建,SRC造,21戸,JR中央線 神田駅  徒歩5分 丸ノ内線 淡路町駅  徒歩5分 都営新宿線 小川町駅  徒歩5分 ,東京都千代田区内神田一丁目,,所有権 ,17.05m2（バルコニー 2.5m2）,1R北西向き,"7,400円 / 4,200円",全部委託,,,,賃貸中,相談
588502zkw,ONE,"1,200万円",7.00%,84 万円 / 7.0万円,1982年6月,鉄骨鉄筋コンクリート造3/9階建 総戸数 57戸,3/9階建,SRC造,57戸,半蔵門線 半蔵門駅  徒歩3分 有楽町線 永田町駅  徒歩7分 有楽町線 麹町駅  徒歩7分 ,東京都千代田区平河町1-9-8,,所有権 ,19.14m2（バルコニー 2.38m2）,1K,"9,200円 / 3,620円",全部委託,,,,賃貸中,相談
5888744qd,ONE,"1,250万円",7.58%,94.8 万円 / 7.9万円,1975年5月,鉄骨鉄筋コンクリート造6/9階建 総戸数 121戸,6/9階建,SRC造,121戸,JR中央線本線 御茶ノ水駅  徒歩5分 丸ノ内線 御茶ノ水駅  徒歩6分 千代田線 新御茶ノ水駅  徒歩7分 ,東京都千代田区神田駿河台1丁目,,所有権 ,18.86m2（バルコニー 4.50m2）,1R北西向き,"8,900円 / 4,680円",全部委託,,,,賃貸中,相談
607268s35,ONE,"1,400万円",6.68%,93.6 万円 / 7.8万円,1985年8月,鉄骨鉄筋コンクリート造6/11階建 総戸数 57戸,6/11階建,SRC造,57戸,半蔵門線 九段下駅  徒歩3分 JR中央線 水道橋駅  徒歩7分 ,東京都千代田区九段北1-9-14,,所有権 ,20.81m2（バルコニー 3.3m2）,1R東向き,"8,600円 / 4,800円",全部委託,,,,賃貸中,相談
597291rsy,ONE,"1,480万円",7.70%,,1980年2月,鉄骨鉄筋コンクリート造3/9階建 総戸数 120戸,3/9階建,SRC造,120戸,半蔵門線 九段下駅  徒歩2分 都営三田線 神保町駅  徒歩11分 JR中央線 水道橋駅  徒歩10分 ,東京都千代田区九段北1-5-5,,所有権 ,18.58m2（バルコニー 3.59m2）,1K東向き,"5,830円 / 5,390円",全部委託,,,,空室,相談
582018chu,ONE,"1,500万円",7.20%,108 万円 / 9.0万円,1985年11月,鉄骨鉄筋コンクリート造6/7階建 総戸数 48戸,6/7階建,SRC造,48戸,JR中央線 市ヶ谷駅  徒歩5分 都営新宿線 市ヶ谷駅  徒歩5分 南北線 市ヶ谷駅  徒歩5分 ,東京都千代田区三番町20,,所有権 ,23.35m2（バルコニー 4m2）,1R北向き,"11,600円 / 5,370円",全部委託,,,,賃貸中,相談
582447t9k,ONE,"1,500万円",6.40%,96 万円 / 8.0万円,1985年8月,鉄骨鉄筋コンクリート造8/10階建（地下 1階） 総戸数 69戸,8/10階建,SRC造,69戸,JR総武線 市ヶ谷駅  徒歩5分 有楽町線 市ヶ谷駅  徒歩5分 都営新宿線 市ヶ谷駅  徒歩2分 ,東京都千代田区九段南4-6-1,,所有権 ,21.40m2（バルコニー 3.83m2）,1R北向き,"5,980円 / 2,400円",全部委託,,,,賃貸中,相談
597691wth,ONE,"1,500万円",7.20%,108 万円 / 9.0万円,1980年4月,鉄筋コンクリート造2/8階建 総戸数 19戸,2/8階建,RC造,19戸,半蔵門線 半蔵門駅  徒歩2分 南北線 永田町駅  徒歩8分 有楽町線 麹町駅  徒歩5分 ,東京都千代田区平河町1-7-2,,所有権 ,26.40m2（バルコニー 3m2）,1R北向き,"7,313円 / 4,260円",全部委託,,,,賃貸中,即時
598315dre,ONE,"1,500万円",6.40%,96 万円 / 8.0万円,1985年8月,鉄骨鉄筋コンクリート造8/10階建（地下 1階） 総戸数 69戸,8/10階建,SRC造,69戸,都営新宿線 市ヶ谷駅  徒歩2分 JR総武線 市ヶ谷駅  徒歩5分 有楽町線 市ヶ谷駅  徒歩5分 ,東京都千代田区九段南4-6-1,,所有権 ,21.40m2（バルコニー 3.83m2）,1R北向き,"5,980円 / 2,400円",全部委託,,,,賃貸中,相談
601630w85,ONE,"1,500万円",6.40%,96 万円 / 8.0万円,1985年8月,鉄骨鉄筋コンクリート造8/10階建（地下 1階） 総戸数 69戸,8/10階建,SRC造,69戸,都営新宿線 市ヶ谷駅  徒歩2分 JR総武線 市ヶ谷駅  徒歩5分 ,東京都千代田区九段南4-6-1,,所有権 ,21.4m2（バルコニー 3.83m2）,1R北向き,"5,980円 / 2,400円",全部委託,,,,賃貸中,相談
6042348zm,ONE,"1,500万円",7.20%,108 万円 / 9.0万円,1980年4月,鉄筋コンクリート造2/8階建 総戸数 19戸,2/8階建,RC造,19戸,半蔵門線 半蔵門駅  徒歩2分 有楽町線 永田町駅  徒歩8分 有楽町線 麹町駅  徒歩5分 ,東京都千代田区平河町1-7-2,,所有権 ,26.40m2（バルコニー 3.00m2）,1R北西向き,"7,313円 / 4,260円",全部委託,,,,賃貸中,相談
582141a9d,ONE,"1,530万円",6.50%,99.6 万円 / 8.3万円,2005年6月,鉄筋コンクリート造1/9階建 総戸数 26戸,1/9階建,RC造,26戸,JR総武線 水道橋駅  徒歩5分 都営三田線 水道橋駅  徒歩5分 ,東京都千代田区三崎町3丁目,,所有権 ,22.68m2（バルコニー なし）,1K北向き,"9,445円 / 4,310円",全部委託,,,,空室,相談
588766wpp,ONE,"1,600万円",6.00%,96 万円 / 8.0万円,2001年9月,鉄骨鉄筋コンクリート造3/12階建 総戸数 32戸,3/12階建,SRC造,32戸,JR山手線 秋葉原駅  徒歩6分 JR総武線 浅草橋駅  徒歩6分 都営新宿線 岩本町駅  徒歩7分 ,東京都千代田区神田佐久間町4丁目,,所有権 ,20m2（バルコニー 2.02m2）,1K東向き,"9,000円 / 1,800円",全部委託,,,,賃貸中,相談
580282c2m,ONE,"1,640万円",6.43%,105.6 万円 / 8.8万円,2002年8月,鉄骨鉄筋コンクリート造9/13階建 総戸数 47戸,9/13階建,SRC造,47戸,JR総武線 浅草橋駅  徒歩3分 JR山手線 秋葉原駅  徒歩7分 ,東京都千代田区東神田3丁目,,所有権 ,25.83m2（バルコニー なし）,1K北東向き,"8,300円 / 5,050円",全部委託,,,,賃貸中,相談
